t;s1;s2;s3;phi;ins;
1603541236.770012;199.4;71.6;123.0;235.2552478900036;1024;1024;
1603541236.984628;190.0;75.4;129.5;233.5694210401823;1024;1024;
1603541237.1971533;188.2;77.9;131.6;235.64481534236756;1024;1024;
1603541237.4108458;181.8;84.6;140.4;237.84683010620378;1024;1024;
1603541237.6249285;167.6;89.6;121.7;234.0726502606305;1024;1024;
1603541237.8384757;166.4;92.9;143.7;234.56292749823365;1024;1024;
1603541238.0517952;159.0;97.9;130.6;233.96918945639777;1024;1024;
1603541238.2537456;150.7;106.2;113.0;234.59447768397877;1024;1024;
1603541238.4541612;147.1;107.3;114.3;231.95326487416742;1024;1024;
1603541238.656236;142.1;113.0;111.6;235.77476821223883;1024;1024;
1603541238.857953;125.5;115.4;127.3;236.98531402980248;1024;1024;
1603541239.0588021;129.9;161.4;117.1;236.54606142573263;1024;1024;
1603541239.2598789;125.3;162.0;117.4;243.27970423785877;1024;1024;
1603541239.4610775;118.0;163.2;129.3;241.93888215214253;1024;1024;
1603541239.6624413;116.8;160.7;117.3;244.9427480188316;1024;1024;
1603541239.8636255;155.2;122.7;110.3;246.85724774888104;1024;1024;
1603541240.0653162;108.3;161.4;121.3;247.4625616622177;1024;1024;
1603541240.2665932;141.8;132.8;116.8;246.04797524681499;1024;1024;
1603541240.480149;134.4;133.2;94.7;253.54017885878136;1024;1024;
1603541240.69473;121.5;104.1;89.6;255.91263305210555;1024;1024;
1603541240.907852;121.4;142.1;84.7;260.2318721122853;1024;1024;
1603541241.121931;111.6;110.5;84.5;265.1713241889978;1024;1024;
1603541241.335725;110.6;113.7;99.1;279.43707923154244;1024;1024;
1603541241.5493357;106.0;120.3;77.2;290.4770570446856;1024;1024;
1603541241.7623246;99.6;126.4;81.5;292.45784862756074;1024;1024;
1603541241.988234;95.0;126.9;90.3;291.2557524673165;1024;1024;
1603541242.201255;106.2;134.3;72.1;292.6084466577553;1024;1024;
1603541242.4268875;81.8;140.3;70.9;291.5325179552308;1024;1024;
1603541242.6531234;76.9;142.8;77.5;290.49478348292246;1024;1024;
1603541242.878958;74.0;145.7;77.0;292.01189090999213;1024;1024;
1603541243.0923328;102.3;148.8;86.9;280.6194518485162;1024;1024;
1603541243.3179533;99.5;143.8;82.4;281.41490935239744;1024;1024;
1603541243.5442085;91.6;151.6;78.6;251.71622853929046;1024;1024;
1603541243.7696216;81.7;159.9;73.9;193.5173650066222;1024;1024;
1603541243.995314;74.6;166.9;65.8;175.96417244114485;0;0;
1603541244.2218597;68.8;176.9;61.7;177.9073519506969;0;0;
1603541244.4476292;66.6;173.2;59.5;183.87950740633545;1024;-1024;
1603541244.6725595;66.9;173.2;60.4;182.3882605369545;1024;-1024;
1603541244.8988457;65.7;175.9;62.1;180.49162306613556;1024;-1024;
1603541245.1366088;58.5;33.0;95.7;193.24759558221598;0;0;
1603541245.3737879;56.3;24.6;92.5;218.08566736841738;0;0;
1603541245.612375;56.3;24.5;93.7;215.95004433933553;1024;1024;
1603541245.8498178;56.2;24.6;89.3;215.55475689041316;1024;1024;
1603541246.0874956;51.1;24.7;89.5;217.99729907972136;1024;1024;
1603541246.3244543;43.2;25.1;86.0;222.5381252597786;1024;1024;
1603541246.5624743;35.4;25.2;83.7;234.00814368288948;1024;1024;
1603541246.799618;27.7;24.8;77.4;236.62724258348433;0;0;
1603541247.0376413;20.3;24.9;75.4;238.700295132844;0;0;
1603541247.2760468;19.6;24.9;67.6;238.90053035058756;0;0;
1603541247.513751;19.5;24.9;68.9;239.46267345985018;0;0;
1603541247.7512825;19.1;24.9;67.6;242.19782454959613;0;0;
1603541247.988319;19.1;24.9;67.6;240.6359807458483;0;0;
1603541248.2274377;19.1;24.9;68.1;241.61753768002478;0;0;
1603541248.4650295;19.1;24.8;67.1;241.9999397000987;0;0;
1603541248.703765;19.1;24.9;68.4;241.9918797435788;0;0;
1603541248.9419012;19.1;24.8;68.4;240.61291181397976;0;0;
1603541249.1796405;19.1;24.8;67.6;239.44231129421667;0;0;
1603541249.41727;19.1;24.8;68.0;241.4064752112306;0;0;
1603541249.6565115;19.1;24.8;68.9;242.1440521108916;0;0;
